name,value,iso,work
Turkmenistan,57.76,TKM,23.66600037
Uganda,12.55,UGA,18.61499977
Ukraine,49.01,UKR,15.63500023
United Arab Emirates,55.57,ARE,18.39100075
United Kingdom,82.46,GBR,4.998000145
United Republic of Tanzania,9.75,TZA,31.3390007
United States of America,117.61,USA,10.99407985
Uruguay,69.46,URY,17.02899933
Uzbekistan,33.89,UZB,16.88699913
Vanuatu,37.19,VUT,24.40099907
Venezuela (Bolivarian Republic of),81.22,VEN,20.08099937
Viet Nam,57.6,VNM,31.0510006
Yemen,18.61,YEM,11.63046391
Zambia,13.41,ZMB,21.64485757
Zimbabwe,20.76,ZWE,16.48900032
